"id","site","timestamp","year","place","dataset","Openly licenced?","Openly licenced? comments","Downloadable at once","Downloadable at once comments","timely","timely comments","Publicly available online (no access controls)","Publicly available online (no access controls) comments","free","free comments","findable","findable comments","findable_steps","findable_steps comments","Licence URL","Licence URL comments","collector_gov","collector_gov comments","usability","usability comments","collector_name","collector_name comments","collector_non_gov","collector_non_gov comments","online_otherwise","online_otherwise comments","Format 1","Format 2","Format 3","Format 4","Format 5","Format 6","Format 7","Format 8","Format 9","Format 10","Format 11","Format 12","Format comment","Data element 1","Data element 2","Data element 3","Data element 4","Data element 5","Data element 6","Data element comment","URL 1","Description URL 1","URL 2","Description URL 2","URL 3","Description URL 3","URL 4","Description URL 4","URL 5","Description URL 5","URL 6","Description URL 6","URL 7","Description URL 7","URL 8","Description URL 8","URL 9","Description URL 9","URL 10","Description URL 10","URL 11","Description URL 11","URL 12","Description URL 12","URL 13","Description URL 13","URL 14","Description URL 14","URL 15","Description URL 15","URL 16","Description URL 16","URL 17","Description URL 17","URL 18","Description URL 18","URL 19","Description URL 19","URL comment","reviewed","reviewResult","reviewComments","details","isCurrent","isOpen","submitter","reviewer","score","relativeScore"
"59d41676-5cfb-4701-9c15-488885dc654c","us-cities","2019-12-30T17:06:56","2018","evanston","property-assessment","Yes",,"Yes",,"Yes",,"Yes",,"Yes",,"4",,"I saw the press release announcing the Cook County Assessor's office had posted the data and found a way to share it on Evanston's Open Data Portal.",,"https://en.wikipedia.org/wiki/Affero_General_Public_License",,"Yes",,"2",,"Cook County Assessor's OFfice",,,,,,"CSV","GeoJSON","KML","RDF","SHP","XLS",,,,,,,,"Location (may be an address or parcel number)","Land area","Property details (type, use, units, description, and/or built improvements, etc.)","Assessed value",,,,"https://data.cityofevanston.org/dataset/Cook-County-Assessor-s-Modeling-Data/6m28-gxv4","Cook County Assessor's Modeling Data","https://data.cityofevanston.org/dataset/Cook-County-Assessor-s-Assessment-Data/4vx4-73z4","Cook County Assessor's Assessment Data","https://data.cityofevanston.org/dataset/Cook-County-Assessor-s-First-Pass-Values/8n46-mi2b","Cook County Assessor's First Pass Values",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yes","Yes",,,"Yes","Yes","Hillary Beata","Hillary Beata","90","100"
"d128f74c-5777-470d-a8cf-15b9be14beef","us-cities","2019-12-12T19:43:07","2018","annearundelcounty","code-violations",,,,,,,"No",,,,,,,,,,"Yes",,,,"usa",,,,"No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yes","Yes",,,"Yes","No","anonymous","anonymous","0","0"
"9032ac28-3710-415f-83c8-ee7a87a8f5e9","us-cities","2019-12-08T01:23:11","2018","atlanta","crime-reports","No","no license to be found","Yes","There is data updated every day available on the Open Data portal, but it is not downloadable. ","Yes",,"Yes",,"Yes",,"4",,"Googled crime data atlanta",,,,"Yes",,"3","It looks fairly clean, probably need to use the code book to understand the uniform crime codes, but otherwise pretty good. ","Atlanta Police Department",,,,,,"CSV",,,,,,,,,,,,"Also tables available in pdfs","Date and time","Location (may be coordinates or addresses; addresses may be at the block level, such as “5XX Main Street”)","Incident type",,,,,"https://www.atlantapd.org/i-want-to/crime-data-downloads","Atlanta Police Department Website","http://opendataportal.azurewebsites.us/","Atlanta Police Department Open Data Portal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yes","Yes",,,"Yes","No","anonymous","anonymous","70","78"
"fe73099f-5c39-4583-88c2-f7137b9bb680","us-cities","2019-11-26T21:43:08","2018","gainesville","traffic-crashes","Yes",,"Yes",,"Yes",,"Yes",,"Yes",,"4",,"I went to the city open data portal and type traffic crashes",,"https://support.socrata.com/hc/en-us/articles/360019057154",,"Yes",,"3",,"Gainesville Police Department",,,,,,"CSV","GeoJSON","JSON","KML","KMZ","RDF","TSV","XLS","XML",,,,,"Date","Time (may be approximate)","Location","Type, description, or charges","Injuries? (yes or no)","Fatalities? (yes or no)",,"https://data.cityofgainesville.org/Community-Model/Traffic-Crashes/iecn-3sxx","Open data",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yes","Yes",,,"Yes","Yes","anonymous","anonymous","90","100"
"5b5ebccf-f008-4051-bb04-30ebd24ca107","us-cities","2019-11-25T23:00:53","2018","alamedacounty","business-listings",,,,,,,,,,,,,,,,,"No",,,,,,"to find my business",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yes","Yes",,,"Yes","No","anonymous","anonymous","0","0"
"45cd2b15-f9a1-42c7-b355-ec0836a0c696","us-cities","2018-02-05T19:57:39","2018","alamedacounty","budget","Yes",,"Yes",,"Yes",,"Yes",,"Yes",,"4",,"Google searched - 'Alameda County Budget'",,"http://budget.acgov.org/#!/year/default","This is to the page. I do not see an attribution page","Yes",,"2",,"Alameda County",,,,,,"CSV",,,,,,,,,,,,,"Department, agency, or office","Category or expense","Description of that category or expense (may be in metadata or supporting documentation)","Amount of money",,,,"http://budget.acgov.org/#!/year/default","Budget Dashboard with download options",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yes","Yes",,,"Yes","Yes","John Garvey","John Garvey","90","100"
"992c57f9-0586-44e8-aaec-7348bcb49625","us-cities","2019-06-27T17:05:54","2018","grandrapids","budget","Yes",,"Yes",,"Yes",,"Yes",,"Yes",,"4",,"Went to https://www.grandrapidsmi.gov/data and found what I needed",,"http://grdata-grandrapids.opendata.arcgis.com/datasets/grand-rapids-adopted-fy19-budget",,"Yes",,"3",,"City of Grand Rapids",,,,,,"CSV",,,,,,,,,,,,,"Department, agency, or office","Category or expense","Description of that category or expense (may be in metadata or supporting documentation)","Amount of money",,,,"https://grbudget.citizenlabs.org/","GR Budget Data Visulization","http://grdata-grandrapids.opendata.arcgis.com/datasets/grand-rapids-adopted-fy19-budget","GROpen Raw Budget Data","https://services2.arcgis.com/L81TiOwAPO1ZvU9b/arcgis/rest/services/Grand_Rapids_Adopted_FY19_Budget/FeatureServer/0/query?outFields=*&where=1%3D1","GR Budget API",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yes","Yes",,,"Yes","Yes","Jon Oeverman","Jon Oeverman","90","100"
"1dd5326b-6c7e-446c-8287-f95d8805d3e9","us-cities","2018-09-11T19:45:56","2018","gainesville","code-violations","Yes",,"Yes",,"No",,"Yes",,"Yes",,"4",,"openGNV > Better Future > Code Complaints and Violations",,"https://data.cityofgainesville.org/Better-Future/Code-Complaints-Violations/vu9p-a5f7",,"Yes",,"3",,"City of Gainesville, Code Enforcement Department",,,,,,"CSV","RDF","TSV","XML",,,,,,,,,,"Date received","Location","Type or description","Status (open, closed, etc.)",,,,"https://data.cityofgainesville.org/Better-Future/Code-Complaints-Violations/vu9p-a5f7","Code Complaints and Violations",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yes","Yes",,,"Yes","No","Mateo Van Thienen","Mateo Van Thienen","75","83"
"d247611f-585d-4f82-ad4e-d1226a414c95","us-cities","2019-10-16T19:07:57","2018","cleveland","business-listings","No","no license specified for permitcleveland; the diversitycompliance explicited said ""The information provided in this file is not to be used for unsolicited advertising, spam, or any other unauthorized use."" without declaring what unauthorized was (this was in the csv results of the file downloaded)","No","no noticeable way to download the data (unless you scrape it?) (for the permitcleveland.org site); 
diversi","Yes","There are results of applications that were submitted today. ","No","the permitcleveland.org required registration; diversitycompliance did not ","Yes",,"1","required a fair amount of google searching, luck, and some bookmarks that I luckily had saved. ","searched for ""business records"", ""business license"" found no relevant results; was frustrated... (cont in comments)","did more searching, and I honestly forget how I ended up finding https://ca.permitcleveland.org/public/Default.aspx which then required me to register. ",,,"Yes",,"1",,"Division of assessments and licenses, to my knowledge. ",,,,"Yes",,,,,,,,,,,,,,,"Business name","Business type",,,,,"On the permit site: 
Usage is quite limited; you're able to input a businesses name, address, type of license, and other characteristics to see if a permit has been issued (this is helpful) 
But the results only display the name, the date of application was made, and the status; so if you intended to obtain a list of all registered barbershops, you'll have a list of their license numbers and when their application was approved, and their name (which isn't always filled in). and you can't download any of it. 

on the diversity site, all information [name, location, contact information, type of licensing given, types of classification awarded to business regarding diversity] is included which is helpful, but it's a very small number of businesses. ","https://ca.permitcleveland.org",," https://cleveland.diversitycompliance.com/","Certification and Compliance Reporting System (3rd party, contracted out by city)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," https://cleveland.diversitycompliance.com/ is specifically for CSB/MBE/FBE/LGBTBE and Section 3 Businesses
","Yes","Yes",," there is however a list of businesses that are registered with the city as CSB/MBE/FBE/LGBTBE and Section 3 Businesses

this is available at https://cleveland.diversitycompliance.com/","Yes","No","Open Cleveland","Open Cleveland","30","33"
"fafd2f5f-7ffd-46bd-881f-248e6c249833","us-cities","2019-10-16T18:09:12","2018","cleveland","lobbyist-activity","No",,"Yes",,"Yes","was last updated in September 2019. ","Yes","only information that is available is the list of the lobbyists and how long they're registered to lobby for; ","Yes",,"2",,"searched in google, ""cuyahoga county"" lobbyist",,,,"Yes","only at a county level. c","1","just lists the lobbyist, doesn't give a list of clients; all matters which the lobbyist has lobbied for each client in the past year; ","Cuyahoga County Inspector general","https://inspectorgeneral.cuyahogacounty.us/en-US/SYN//42216/HomePageTemplate.aspx ",,,"No",,,,,,,,,,,,,,,"Lobbyist registration information — including name, contact information, and date of registration",,,,,,"only lists their name and expiration of license; doesn't even give contact information. ","https://inspectorgeneral.cuyahogacounty.us/en-US/SYN//42216/HomePageTemplate.aspx","was a pdf",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yes","Yes",,"according to the law - http://code.cuyahogacounty.us/en-US/CCRC-T4C405.aspx 
they are required to provide the following each year: 

    The name, phone number, and address of the registered lobbyist and all of its employees or agents who engage in lobbying activities;
    A list of all clients, including names, phone numbers, addresses, and nature of business, from whom the registered lobbyist receives compensation for engaging in lobbying activities;
    A statement of all matters on which the registered lobbyist has lobbied for each client in the past year, or on which the registered lobbyist is contracted to lobby in the future;
    A list of any past positions held by the registered lobbyist or any of its employees or agents as an elected official, employee, or board member of a city, county or state, and the period of time during which each individual held such position;
    Any other information as may be required by the Inspector General.

","Yes","No","Open Cleveland","Open Cleveland","60","67"
