"","results.place","City","State","Portal_URL","Software","TotalDataSetsAvailable","NotesDataSetsAvailable","CountVettedPublicLibData","TypePLDataAvailable","LibraryDataCategories","DateLibDataLastUpdated","Notes"
"1","alamedacounty",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","albuquerque",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","anchorage",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","ann-arbor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","annarbor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","annearundelcounty",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","arlington",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","arlingtontx",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","arlingtonva",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","asheville",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","athensga",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","atlanta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","austin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","baltimore",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","bangor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","batonrouge",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","bellca",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","bellevue",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","birmingham",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","blacksburg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","bloomingtonil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","boise",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","boston",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","boulder",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","bouldercounty",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","buffalo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","burbankca",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","burlington",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","calabasas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","capecoral",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","cary",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","cedarfalls",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","chapelhill",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","charlotte",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","charlottesville",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","chattanooga",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","chesapeakeva",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","chicago",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","cincinnati",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","cleveland",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","coloradosprings",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","columbus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","culvercity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","dallas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","dayton",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","denton",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","denver",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","detroit",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","durham",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","elsegundo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","evanston",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","fairfaxcounty",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","fallschurch",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","fayetteville",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","ferndalemi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","fortlauderdale",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","gainesville",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","gilbert",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","glendaleca",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
